soc_code,title,r,i,a,s,e,c,r_pct,i_pct,a_pct,s_pct,e_pct,c_pct,holland_code
37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",6.51,2.73,1.00,1.95,1.42,3.67,37.67,15.80,5.79,11.28,8.22,21.24,RCI
37-3013.00,Tree Trimmers and Pruners,7.00,2.13,1.00,1.79,1.22,3.09,43.13,13.12,6.16,11.03,7.52,19.04,RCI
39-1013.00,First-Line Supervisors of Gambling Services Workers,3.70,1.00,1.00,3.02,5.93,5.49,18.37,4.97,4.97,15.00,29.44,27.26,ECR
39-1014.00,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",2.90,1.03,1.79,4.40,7.00,4.72,13.28,4.72,8.20,20.15,32.05,21.61,ECS
39-1022.00,First-Line Supervisors of Personal Service Workers,3.37,1.10,1.09,3.98,6.85,5.11,15.67,5.12,5.07,18.51,31.86,23.77,ECS
39-2011.00,Animal Trainers,6.52,2.30,1.76,3.61,2.08,2.97,33.89,11.95,9.15,18.76,10.81,15.44,RSC
39-2021.00,Animal Caretakers,6.17,2.75,1.63,3.75,1.52,3.25,32.35,14.42,8.55,19.66,7.97,17.04,RSC
39-3011.00,Gambling Dealers,3.71,1.00,1.10,2.16,5.18,5.46,19.94,5.37,5.91,11.61,27.83,29.34,CER
39-3012.00,Gambling and Sports Book Writers and Runners,2.78,1.00,1.02,2.92,4.99,5.97,14.88,5.35,5.46,15.63,26.71,31.96,CES
39-3021.00,Motion Picture Projectionists,5.44,2.02,3.10,2.02,1.99,4.39,28.69,10.65,16.35,10.65,10.50,23.15,RCA
39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",3.21,1.00,1.41,4.69,4.19,4.75,16.68,5.19,7.32,24.36,21.77,24.68,CSE
39-3091.00,Amusement and Recreation Attendants,4.23,1.00,1.68,4.35,3.83,4.72,21.35,5.05,8.48,21.96,19.33,23.83,CSR
39-3092.00,Costume Attendants,3.88,1.00,5.61,3.26,2.84,4.27,18.60,4.79,26.89,15.63,13.61,20.47,ACR
39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",4.16,1.00,1.56,4.14,2.49,5.59,21.96,5.28,8.24,21.86,13.15,29.51,CRS
39-4011.00,Embalmers,5.84,2.57,1.61,3.40,2.65,3.85,29.32,12.90,8.08,17.07,13.30,19.33,RCS
39-4012.00,Crematory Operators,5.96,2.11,1.46,2.73,1.49,4.36,32.91,11.65,8.06,15.07,8.23,24.08,RCS
39-4021.00,Funeral Attendants,4.95,1.07,1.82,3.93,3.67,4.34,25.03,5.41,9.20,19.87,18.55,21.94,RCS
39-4031.00,"Morticians, Undertakers, and Funeral Arrangers",3.55,1.40,1.75,4.41,4.66,4.67,17.37,6.85,8.56,21.58,22.80,22.85,CES
39-5011.00,Barbers,5.39,1.00,2.71,3.58,3.55,3.89,26.79,4.97,13.47,17.79,17.64,19.33,RCS
39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",5.40,1.54,3.24,3.72,3.25,3.92,25.63,7.31,15.38,17.66,15.42,18.60,RCS
39-5091.00,"Makeup Artists, Theatrical and Performance",4.33,1.37,6.72,3.00,3.08,3.01,20.13,6.37,31.24,13.95,14.32,13.99,ARE
39-5092.00,Manicurists and Pedicurists,5.63,1.30,2.29,3.06,2.35,3.67,30.77,7.10,12.51,16.72,12.84,20.05,RCS
39-5093.00,Shampooers,5.53,1.35,1.56,3.75,2.47,3.37,30.67,7.49,8.65,20.80,13.70,18.69,RSC
39-5094.00,Skincare Specialists,5.48,2.04,2.95,4.18,3.12,3.37,25.92,9.65,13.95,19.77,14.76,15.94,RSC
39-6011.00,Baggage Porters and Bellhops,4.92,1.00,1.00,3.51,2.55,4.82,27.64,5.62,5.62,19.72,14.33,27.08,RCS
