soc_code,title,r,i,a,s,e,c,r_pct,i_pct,a_pct,s_pct,e_pct,c_pct,holland_code
51-5111.00,Prepress Technicians and Workers,5.01,1.96,3.10,1.65,1.35,5.76,26.61,10.41,16.46,8.76,7.17,30.59,CRA
51-5112.00,Printing Press Operators,4.80,1.18,1.74,1.71,1.77,5.43,28.86,7.10,10.46,10.28,10.64,32.65,CRE
51-5113.00,Print Binding and Finishing Workers,5.44,1.20,2.05,1.47,1.23,5.49,32.23,7.11,12.14,8.71,7.29,32.52,CRA
51-6011.00,Laundry and Dry-Cleaning Workers,6.38,1.00,1.18,1.36,1.54,4.26,40.59,6.36,7.51,8.65,9.80,27.10,RCE
51-6021.00,"Pressers, Textile, Garment, and Related Materials",6.38,1.46,2.31,1.15,1.00,3.50,40.38,9.24,14.62,7.28,6.33,22.15,RCA
51-6031.00,Sewing Machine Operators,6.78,1.37,1.75,1.16,1.15,3.97,41.90,8.47,10.82,7.17,7.11,24.54,RCA
51-6041.00,Shoe and Leather Workers and Repairers,6.94,1.63,3.13,1.32,1.53,3.19,39.12,9.19,17.64,7.44,8.62,17.98,RCA
51-6042.00,Shoe Machine Operators and Tenders,6.71,1.77,1.67,1.30,1.54,3.88,39.77,10.49,9.90,7.71,9.13,23.00,RCI
51-6051.00,"Sewers, Hand",6.48,1.00,2.39,1.56,1.15,3.25,40.93,6.32,15.10,9.85,7.26,20.53,RCA
51-6052.00,"Tailors, Dressmakers, and Custom Sewers",5.88,1.16,3.96,1.99,2.44,3.13,31.68,6.25,21.34,10.72,13.15,16.86,RAC
51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders,6.77,2.07,1.27,1.27,1.21,4.18,40.37,12.34,7.57,7.57,7.22,24.93,RCI
51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders",6.36,1.55,1.51,1.22,1.56,4.49,38.11,9.29,9.05,7.31,9.35,26.90,RCE
51-6063.00,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",6.95,1.81,1.56,1.02,1.36,4.28,40.93,10.66,9.19,6.01,8.01,25.21,RCI
51-6064.00,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",6.50,1.48,1.33,1.00,1.53,4.32,40.22,9.16,8.23,6.19,9.47,26.73,RCE
51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",6.50,2.21,1.27,1.22,1.41,4.05,39.02,13.27,7.62,7.32,8.46,24.31,RCI
51-6092.00,Fabric and Apparel Patternmakers,5.65,1.34,5.40,1.31,1.45,4.17,29.24,6.94,27.95,6.78,7.51,21.58,RAC
51-6093.00,Upholsterers,6.81,1.84,2.92,1.38,1.00,2.92,40.37,10.91,17.31,8.18,5.93,17.31,RAC
51-7011.00,Cabinetmakers and Bench Carpenters,7.00,2.05,2.50,1.11,1.23,3.38,40.53,11.87,14.48,6.43,7.12,19.57,RCA
51-7021.00,Furniture Finishers,7.00,1.45,2.93,1.25,1.00,2.87,42.42,8.79,17.76,7.58,6.06,17.39,RAC
51-7031.00,"Model Makers, Wood",7.00,2.57,3.79,1.38,1.59,3.99,34.45,12.65,18.65,6.79,7.82,19.64,RCA
51-7032.00,"Patternmakers, Wood",6.58,2.06,4.06,1.29,1.26,4.04,34.11,10.68,21.05,6.69,6.53,20.94,RAC
51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood",7.00,2.36,1.00,1.16,1.00,3.87,42.71,14.40,6.10,7.08,6.10,23.61,RCI
51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",7.00,2.38,1.13,1.20,1.02,4.14,41.49,14.11,6.70,7.11,6.05,24.54,RCI
51-8011.00,Nuclear Power Reactor Operators,5.40,3.12,1.00,2.07,2.60,5.14,27.94,16.14,5.17,10.71,13.45,26.59,RCI
51-8012.00,Power Distributors and Dispatchers,5.20,2.43,1.00,1.98,3.09,5.11,27.64,12.92,5.32,10.53,16.43,27.17,RCE
51-8013.00,Power Plant Operators,6.84,2.84,1.00,1.25,1.94,5.11,36.04,14.96,5.27,6.59,10.22,26.92,RCI
51-8013.03,Biomass Plant Technicians,6.97,3.12,1.00,1.22,1.75,4.82,36.92,16.53,5.30,6.46,9.27,25.53,RCI
51-8013.04,Hydroelectric Plant Technicians,7.00,3.28,1.00,1.21,1.77,4.68,36.96,17.32,5.28,6.39,9.35,24.71,RCI
51-8021.00,Stationary Engineers and Boiler Operators,7.00,3.16,1.00,1.10,1.22,4.40,39.15,17.67,5.59,6.15,6.82,24.61,RCI
51-8031.00,Water and Wastewater Treatment Plant and System Operators,6.75,2.55,1.00,1.57,1.62,4.60,37.31,14.10,5.53,8.68,8.96,25.43,RCI
51-8091.00,Chemical Plant and System Operators,6.22,3.18,1.00,1.22,1.60,5.16,33.84,17.30,5.44,6.64,8.71,28.07,RCI
51-8092.00,Gas Plant Operators,6.65,2.58,1.00,1.46,2.28,5.19,34.71,13.47,5.22,7.62,11.90,27.09,RCI
51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",6.17,2.44,1.00,1.33,2.24,5.06,33.83,13.38,5.48,7.29,12.28,27.74,RCI
51-8099.01,Biofuels Processing Technicians,5.87,3.28,1.00,1.00,2.13,5.33,31.54,17.62,5.37,5.37,11.45,28.64,RCI
51-9011.00,Chemical Equipment Operators and Tenders,6.57,3.16,1.00,1.12,1.27,4.56,37.16,17.87,5.66,6.33,7.18,25.79,RCI
51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",6.27,2.29,1.00,1.10,1.09,4.47,38.66,14.12,6.17,6.78,6.72,27.56,RCI
51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",6.84,2.12,1.00,1.00,1.41,4.59,40.33,12.50,5.90,5.90,8.31,27.06,RCI
51-9022.00,"Grinding and Polishing Workers, Hand",7.00,1.51,2.00,1.07,1.00,3.25,44.22,9.54,12.63,6.76,6.32,20.53,RCA
51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders",6.56,1.94,1.13,1.09,1.16,4.24,40.69,12.03,7.01,6.76,7.20,26.30,RCI
51-9031.00,"Cutters and Trimmers, Hand",6.24,1.22,2.20,1.13,1.00,3.75,40.15,7.85,14.16,7.27,6.44,24.13,RCA
51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders",6.71,1.61,1.02,1.00,1.20,4.45,41.96,10.07,6.38,6.25,7.50,27.83,RCI
51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",6.54,2.23,1.28,1.04,1.25,4.30,39.30,13.40,7.69,6.25,7.51,25.84,RCI
51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",6.83,2.08,1.00,1.29,1.21,4.38,40.68,12.39,5.96,7.68,7.21,26.09,RCI
51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers",5.73,3.42,1.00,1.00,1.38,5.36,32.03,19.12,5.59,5.59,7.71,29.96,RCI
51-9071.00,Jewelers and Precious Stone and Metal Workers,6.59,2.60,3.70,1.03,1.51,3.35,35.09,13.84,19.70,5.48,8.04,17.84,RAC
51-9071.06,Gem and Diamond Workers,5.46,3.09,2.88,1.15,2.14,4.11,29.00,16.41,15.29,6.11,11.36,21.83,RCI
51-9081.00,Dental Laboratory Technicians,6.61,4.46,1.52,2.67,1.00,4.12,32.43,21.88,7.46,13.10,4.91,20.22,RIC
51-9082.00,Medical Appliance Technicians,7.00,3.96,1.58,3.20,1.00,3.66,34.31,19.41,7.75,15.69,4.90,17.94,RIC
51-9083.00,Ophthalmic Laboratory Technicians,6.37,2.87,1.70,1.90,1.37,4.13,34.73,15.65,9.27,10.36,7.47,22.52,RCI
51-9111.00,Packaging and Filling Machine Operators and Tenders,6.63,1.37,1.00,1.02,1.84,4.91,39.53,8.17,5.96,6.08,10.97,29.28,RCE
51-9123.00,"Painting, Coating, and Decorating Workers",6.93,1.34,3.42,1.57,1.00,3.40,39.24,7.59,19.37,8.89,5.66,19.25,RAC
51-9124.00,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",6.98,1.49,2.11,1.23,1.05,3.64,42.30,9.03,12.79,7.45,6.36,22.06,RCA
51-9141.00,Semiconductor Processing Technicians,6.40,3.07,1.00,1.11,1.46,5.15,35.18,16.88,5.50,6.10,8.03,28.31,RCI
51-9151.00,Photographic Process Workers and Processing Machine Operators,5.49,2.13,2.92,1.11,1.11,5.19,30.58,11.87,16.27,6.18,6.18,28.91,RCA
51-9161.00,Computer Numerically Controlled Tool Operators,6.44,2.88,1.19,1.00,1.37,5.39,35.25,15.76,6.51,5.47,7.50,29.50,RCI
51-9162.00,Computer Numerically Controlled Tool Programmers,4.88,3.62,1.53,1.45,1.68,5.92,25.58,18.97,8.02,7.60,8.81,31.03,CRI
51-9191.00,Adhesive Bonding Machine Operators and Tenders,6.49,2.06,1.08,1.00,1.11,4.39,40.24,12.77,6.70,6.20,6.88,27.22,RCI
51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",7.00,1.68,1.00,1.00,1.00,4.41,43.51,10.44,6.22,6.22,6.22,27.41,RCI
51-9193.00,Cooling and Freezing Equipment Operators and Tenders,6.99,2.32,1.00,1.41,1.12,4.29,40.81,13.54,5.84,8.23,6.54,25.04,RCI
51-9194.00,Etchers and Engravers,6.52,2.45,3.75,1.38,1.00,3.44,35.17,13.21,20.23,7.44,5.39,18.55,RAC
51-9195.00,"Molders, Shapers, and Casters, Except Metal and Plastic",6.64,2.25,2.14,1.01,1.00,4.29,38.32,12.98,12.35,5.83,5.77,24.75,RCI
51-9195.03,"Stone Cutters and Carvers, Manufacturing",7.00,1.88,3.83,1.23,1.00,3.75,37.45,10.06,20.49,6.58,5.35,20.06,RAC
51-9195.04,"Glass Blowers, Molders, Benders, and Finishers",6.79,2.50,1.46,1.00,1.48,5.12,37.00,13.62,7.96,5.45,8.07,27.90,RCI
51-9195.05,"Potters, Manufacturing",6.92,1.64,2.16,1.00,1.19,3.69,41.69,9.88,13.01,6.02,7.17,22.23,RCA
51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders",6.53,1.72,1.26,1.00,1.45,4.55,39.55,10.42,7.63,6.06,8.78,27.56,RCI
51-9197.00,Tire Builders,7.00,2.28,1.00,1.09,1.00,3.78,43.34,14.12,6.19,6.75,6.19,23.41,RCI
51-9198.00,Helpers--Production Workers,6.54,1.30,1.14,1.67,1.89,4.40,38.61,7.67,6.73,9.86,11.16,25.97,RCE
53-1041.00,Aircraft Cargo Handling Supervisors,4.60,2.19,1.00,2.47,5.37,4.79,22.53,10.72,4.90,12.10,26.30,23.46,ECR
53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",3.38,1.13,1.11,3.73,6.16,4.88,16.58,5.54,5.44,18.29,30.21,23.93,ECS
53-1042.01,Recycling Coordinators,4.00,2.25,1.00,3.37,4.77,4.57,20.04,11.27,5.01,16.88,23.90,22.90,ECR
53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,4.76,1.83,1.00,2.56,5.20,4.79,23.63,9.09,4.97,12.71,25.82,23.78,ECR
53-1044.00,First-Line Supervisors of Passenger Attendants,2.60,1.05,1.00,4.08,6.52,5.23,12.70,5.13,4.88,19.92,31.84,25.54,ECS
53-2011.00,"Airline Pilots, Copilots, and Flight Engineers",4.74,3.15,1.44,2.50,3.81,4.70,23.30,15.49,7.08,12.29,18.73,23.11,RCE
53-2012.00,Commercial Pilots,4.79,2.55,1.10,2.57,3.92,4.82,24.25,12.91,5.57,13.01,19.85,24.41,CRE
53-2021.00,Air Traffic Controllers,4.55,2.45,1.00,2.68,4.29,4.99,22.80,12.27,5.01,13.43,21.49,25.00,CRE
53-2022.00,Airfield Operations Specialists,4.63,3.54,1.00,2.49,4.47,4.93,21.98,16.81,4.75,11.82,21.23,23.41,CRE
53-2031.00,Flight Attendants,4.04,2.04,1.27,4.19,3.63,4.41,20.63,10.42,6.49,21.40,18.54,22.52,CSR
53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",6.45,2.45,1.00,4.73,1.53,3.57,32.69,12.42,5.07,23.97,7.75,18.09,RSC
53-3031.00,Driver/Sales Workers,5.34,1.00,1.00,2.43,3.67,4.67,29.49,5.52,5.52,13.42,20.27,25.79,RCE
53-3032.00,Heavy and Tractor-Trailer Truck Drivers,7.00,1.92,1.00,1.33,1.30,4.10,42.04,11.53,6.01,7.99,7.81,24.62,RCI
53-3033.00,Light Truck Drivers,6.88,1.54,1.02,1.36,2.10,4.42,39.72,8.89,5.89,7.85,12.12,25.52,RCE
53-3051.00,"Bus Drivers, School",5.50,1.61,1.21,4.45,2.18,4.70,27.99,8.19,6.16,22.65,11.09,23.92,RCS
53-3052.00,"Bus Drivers, Transit and Intercity",5.95,1.00,1.00,3.60,2.81,4.70,31.22,5.25,5.25,18.89,14.74,24.66,RCS
53-3053.00,Shuttle Drivers and Chauffeurs,6.50,1.00,1.00,3.04,2.12,4.16,36.48,5.61,5.61,17.06,11.90,23.34,RCS
53-3054.00,Taxi Drivers,5.73,1.10,1.00,2.80,2.49,4.80,31.98,6.14,5.58,15.62,13.90,26.79,RCS
53-4011.00,Locomotive Engineers,7.00,3.49,1.00,1.85,1.89,4.65,35.21,17.56,5.03,9.31,9.51,23.39,RCI
53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers",6.78,2.02,1.00,1.76,2.07,4.30,37.81,11.27,5.58,9.82,11.54,23.98,RCE
53-4022.00,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",7.00,2.07,1.00,1.22,1.43,4.25,41.25,12.20,5.89,7.19,8.43,25.04,RCI
53-4031.00,Railroad Conductors and Yardmasters,5.80,1.97,1.00,1.85,3.77,4.87,30.11,10.23,5.19,9.61,19.57,25.29,RCE
53-4041.00,Subway and Streetcar Operators,5.91,1.37,1.00,2.80,2.28,4.26,33.54,7.78,5.68,15.89,12.94,24.18,RCS
53-5011.00,Sailors and Marine Oilers,6.97,2.62,1.00,1.24,2.41,3.96,38.30,14.40,5.49,6.81,13.24,21.76,RCI
53-5021.00,"Captains, Mates, and Pilots of Water Vessels",5.61,2.64,1.00,1.88,4.22,4.56,28.18,13.26,5.02,9.44,21.20,22.90,RCE
53-5022.00,Motorboat Operators,6.54,2.22,1.12,1.99,3.19,3.66,34.94,11.86,5.98,10.63,17.04,19.55,RCE
53-5031.00,Ship Engineers,6.44,3.54,1.00,1.76,3.73,4.91,30.12,16.56,4.68,8.23,17.45,22.97,RCE
53-6011.00,Bridge and Lock Tenders,6.15,2.40,1.00,1.79,2.58,4.37,33.62,13.12,5.47,9.79,14.11,23.89,RCE
53-6021.00,Parking Attendants,5.64,1.00,1.15,3.03,3.12,5.07,29.67,5.26,6.05,15.94,16.41,26.67,RCE
53-6031.00,Automotive and Watercraft Service Attendants,6.40,1.32,1.00,1.97,2.15,4.37,37.19,7.67,5.81,11.45,12.49,25.39,RCE
53-6032.00,Aircraft Service Attendants,6.11,1.83,1.00,1.87,2.10,4.16,35.79,10.72,5.86,10.95,12.30,24.37,RCE
53-6041.00,Traffic Technicians,4.87,4.38,1.40,1.93,1.96,4.47,25.62,23.04,7.36,10.15,10.31,23.51,RCI
53-6051.00,Transportation Inspectors,5.69,2.91,1.00,1.56,2.64,6.17,28.49,14.57,5.01,7.81,13.22,30.90,CRI
53-6051.01,Aviation Inspectors,5.57,4.09,1.00,1.42,2.56,5.73,27.34,20.08,4.91,6.97,12.57,28.13,CRI
53-6051.07,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",7.00,3.72,1.00,1.00,1.35,5.14,36.44,19.36,5.21,5.21,7.03,26.76,RCI
53-6061.00,Passenger Attendants,3.76,1.15,1.00,4.35,3.08,4.45,21.14,6.46,5.62,24.45,17.31,25.01,CSR
53-7011.00,Conveyor Operators and Tenders,6.13,1.36,1.00,1.21,2.58,4.95,35.58,7.89,5.80,7.02,14.97,28.73,RCE
53-7021.00,Crane and Tower Operators,7.00,2.22,1.00,1.19,1.30,3.94,42.04,13.33,6.01,7.15,7.81,23.66,RCI
53-7031.00,Dredge Operators,6.63,2.99,1.00,1.36,2.33,3.48,37.27,16.81,5.62,7.64,13.10,19.56,RCI
53-7041.00,Hoist and Winch Operators,6.89,1.55,1.07,1.45,1.45,3.33,43.77,9.85,6.80,9.21,9.21,21.16,RCI
53-7051.00,Industrial Truck and Tractor Operators,7.00,1.78,1.00,1.11,1.23,3.71,44.22,11.24,6.32,7.01,7.77,23.44,RCI
53-7061.00,Cleaners of Vehicles and Equipment,7.00,1.15,1.00,1.04,1.00,4.04,45.96,7.55,6.57,6.83,6.57,26.53,RCI
53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand",6.04,1.12,1.00,1.47,2.04,4.94,36.36,6.74,6.02,8.85,12.28,29.74,RCE
53-7062.04,Recycling and Reclamation Workers,6.28,2.04,1.00,1.28,1.59,4.39,37.88,12.30,6.03,7.72,9.59,26.48,RCI
53-7063.00,Machine Feeders and Offbearers,6.96,2.07,1.00,1.00,1.00,4.49,42.13,12.53,6.05,6.05,6.05,27.18,RCI
53-7064.00,"Packers and Packagers, Hand",5.59,1.34,1.50,1.39,2.27,5.41,31.94,7.66,8.57,7.94,12.97,30.91,RCE
53-7065.00,Stockers and Order Fillers,4.79,1.00,1.00,1.88,3.29,6.25,26.30,5.49,5.49,10.32,18.07,34.32,CRE
53-7071.00,Gas Compressor and Gas Pumping Station Operators,6.27,2.30,1.00,1.51,1.49,4.83,36.03,13.22,5.75,8.68,8.56,27.76,RCI
53-7072.00,"Pump Operators, Except Wellhead Pumpers",6.68,2.27,1.00,1.28,1.46,4.50,38.86,13.21,5.82,7.45,8.49,26.18,RCI
53-7073.00,Wellhead Pumpers,6.92,2.26,1.00,1.11,1.77,4.29,39.88,13.03,5.76,6.40,10.20,24.73,RCI
53-7081.00,Refuse and Recyclable Material Collectors,7.00,1.83,1.00,1.29,1.36,4.53,41.15,10.76,5.88,7.58,8.00,26.63,RCI
53-7121.00,"Tank Car, Truck, and Ship Loaders",6.96,1.98,1.00,1.00,1.30,4.77,40.92,11.64,5.88,5.88,7.64,28.04,RCI
